"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"MUED-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","43565D","001","TBA","TBA","10","0","0","Susan Helfter","MUS402"
"MUED-499","Special Topics","","2.0-4.0 units, max 8"
"","Musical Community Engagement- Theory and Practice","","2.0","Lecture","43568D","001","2:00-3:50pm","Thursday","15","0","0","Susan Helfter","MUS319"
"MUED-504","Psychological Foundations of Music","","3.0 units","Lecture","43580D","001","5:00-7:50pm","Monday","15","1","0","Beatriz Ilari","MUS303"
"MUED-505","Teaching and Learning Music","","2.0 units","Lecture","43582D","001","10:00-11:50am","Tuesday","15","0","0","Peter Webster",""
"MUED-550","Teaching Music Fundamentals and Appreciation Courses","","2.0 units","Lecture","43622D","001","12:00-1:50pm","Thursday","15","0","0","Susan Helfter",""
"MUED-590","Directed Research","","1.0-12.0 units","Lecture","43629D","001","TBA","TBA","10","0","0","Susan Helfter","MUS402"
"MUED-592","Final Project","P","2.0 units","Lecture","43633D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-594a","Master's Thesis","C","2.0 units","Lecture","43637D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-594b","Master's Thesis","PC","2.0 units","Lecture","43641D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-594z","Master's Thesis","PC","0.0 units","Lecture","43645D","001","TBA","TBA","2","0","0","Susan Helfter","MUS402"
"MUED-599","Special Topics","","2.0-4.0 units, max 8"
"","Creative Thinking in Music","","3.0","Lecture","43649D","001","11:00-1:50pm","Tuesday","15","0","0","Peter Webster","MUS319"
"MUED-605","College Teaching in Music Education","","3.0 units","Lecture","43663D","001","5:00-7:50pm","Wednesday","15","0","0","Beatriz Ilari","MUS213"
"MUED-610","Pedagogy for Collegiate Teaching","","2.0 units","Lecture","43666D","001","4:00-5:50pm","Tuesday","15","1","0","Susan Helfter","MUS102B"
"MUED-790","Research","","1.0-12.0 units","Lecture","43672D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794a","Doctoral Dissertation","C","2.0 units","Lecture","43683D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794b","Doctoral Dissertation","PC","2.0 units","Lecture","43686D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794c","Doctoral Dissertation","PC","2.0 units","Lecture","43689D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794d","Doctoral Dissertation","PC","2.0 units","Lecture","43692D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
"MUED-794z","Doctoral Dissertation","PC","0.0 units","Lecture","43695D","001","TBA","TBA","6","0","0","Susan Helfter","MUS402"
